Operation,Status,Category,Cost Formula,Active Weight,Empirical Weight,Reviewer Weight,Effective Cost Example,Confidence,Notes,Exclusion Reason,Hardware FP Instructions (per analytical FLOP),Timing Weight,Perf/Timing Agreement,Measurement Spread (CV),Benchmark Command,Benchmark Size,Total Perf Instructions,Total Timing (ns),Implementation,Weight Tier,Repeats
random.sample,alias,counted_custom,,1.0000,3.0001,,,,Sampling; cost = numel(output).,Alias of random.random_sample (weight: 1.00),3.00,,,,,,,,,,
round,alias,counted_unary,,1.0000,0.8722,,,,Round to given number of decimals element-wise.,Alias of rint (weight: 1.00),0.30,,,,,,,,,,
trapz,alias,counted_custom,,1.0000,4.3001,,,,Alias for trapezoid (deprecated).,Alias of trapezoid (weight: 1.00),4.30,,,,,,,,,,
array_split,free,free,0,0,,,,,Split array into sub-arrays (possibly unequal). Cost: numel(output).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
asarray,free,free,0,0,,,,,Convert input to array. Cost: numel(input).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
astype,free,free,0,0,,,,,Cast array to specified type.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
atleast_1d,free,free,0,0,,,,,View inputs as arrays with at least one dimension.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
atleast_2d,free,free,0,0,,,,,View inputs as arrays with at least two dimensions.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
atleast_3d,free,free,0,0,,,,,View inputs as arrays with at least three dimensions.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
broadcast_arrays,free,free,0,0,,,,,Broadcast arrays against each other. Cost: numel(output).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
broadcast_shapes,free,free,0,0,,,,,Compute broadcast shape from input shapes.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
broadcast_to,free,free,0,0,,,,,Broadcast array to new shape. Cost: numel(output).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
can_cast,free,free,0,0,,,,,Returns True if cast is safe.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
column_stack,free,free,0,0,,,,,Stack 1-D arrays as columns into 2-D array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
common_type,free,free,0,0,,,,,Return scalar type common to all input arrays.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
copy,free,free,0,0,,,,,Return array copy.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
diag_indices,free,free,0,0,,,,,Return indices to access main diagonal of n-D array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
diag_indices_from,free,free,0,0,,,,,Return indices to access main diagonal of given array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
dsplit,free,free,0,0,,,,,Split array into multiple sub-arrays depth-wise. Cost: numel(output).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
empty,free,free,0,0,,,,,Uninitialized array allocation.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
empty_like,free,free,0,0,,,,,Uninitialized array with same shape/type as input.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
expand_dims,free,free,0,0,,,,,Insert new size-1 axis.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
eye,free,free,0,0,,,,,Create identity matrix.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
fft.fftfreq,free,free,0,0,,,,,FFT sample frequencies. No arithmetic; returns index array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
fft.fftshift,free,free,0,0,,,,,Shift zero-frequency component to center. No arithmetic; index reordering only.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
fft.ifftshift,free,free,0,0,,,,,Inverse of fftshift. No arithmetic; index reordering only.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
fft.rfftfreq,free,free,0,0,,,,,Real FFT sample frequencies. No arithmetic; returns index array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
flip,free,free,0,0,,,,,Reverse order of elements along axis.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
fliplr,free,free,0,0,,,,,Flip array left-right.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
flipud,free,free,0,0,,,,,Flip array up-down.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
from_dlpack,free,free,0,0,,,,,Create ndarray from DLPack object (zero-copy). Cost: numel(output).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
frombuffer,free,free,0,0,,,,,Interpret buffer as 1-D array. Cost: numel(output).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
hsplit,free,free,0,0,,,,,Split array into columns.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
hstack,free,free,0,0,,,,,Stack arrays horizontally.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
identity,free,free,0,0,,,,,Create square identity matrix.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
isdtype,free,free,0,0,,,,,Return True if array or dtype is of specified kind (NumPy 2.x).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
isfortran,free,free,0,0,,,,,Return True if array is Fortran contiguous.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
isscalar,free,free,0,0,,,,,Return True if input is a scalar.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
issubdtype,free,free,0,0,,,,,Return True if first argument is lower in type hierarchy.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
iterable,free,free,0,0,,,,,Return True if object is iterable.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
linalg.diagonal,free,free,0,0,,,,,View of diagonal — delegates to flopscope.diagonal. Cost: 0 FLOPs.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
linalg.matrix_transpose,free,free,0,0,,,,,Transpose view — delegates to flopscope.matrix_transpose. Cost: 0 FLOPs.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
matrix_transpose,free,free,0,0,,,,,Transpose last two dimensions (NumPy 2.x array API).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
may_share_memory,free,free,0,0,,,,,Determine if two arrays might share memory.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
min_scalar_type,free,free,0,0,,,,,Return the minimum scalar type for a value.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
mintypecode,free,free,0,0,,,,,Return minimum data type character that can satisfy all given types.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
moveaxis,free,free,0,0,,,,,Move axes to new positions.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
ndim,free,free,0,0,,,,,Return number of dimensions of array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
ones,free,free,0,0,,,,,Create one-filled array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
ones_like,free,free,0,0,,,,,Array of ones with same shape/type as input.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
permute_dims,free,free,0,0,,,,,Permute dimensions (NumPy 2.x array API).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
promote_types,free,free,0,0,,,,,Return smallest type to which both types may be safely cast.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
random.default_rng,free,free,0,0,,,,,Construct a new Generator with default BitGenerator.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
random.get_state,free,free,0,0,,,,,Return tuple representing internal state of generator.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
random.seed,free,free,0,0,,,,,Seed random number generator.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
random.set_state,free,free,0,0,,,,,Set internal state of generator.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
ravel,free,free,0,0,,,,,Return contiguous flattened array. Cost: numel(input).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
ravel_multi_index,free,free,0,0,,,,,Convert multi-dimensional index to flat index.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
require,free,free,0,0,,,,,Return array that satisfies requirements.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
reshape,free,free,0,0,,,,,Reshape array without copying.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
result_type,free,free,0,0,,,,,Return type that results from applying NumPy type promotion.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
rollaxis,free,free,0,0,,,,,Roll specified axis backwards. Cost: numel(output).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
rot90,free,free,0,0,,,,,Rotate array 90 degrees.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
row_stack,free,free,0,0,,,,,Stack arrays vertically (alias for vstack).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
shape,free,free,0,0,,,,,Return shape of array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
shares_memory,free,free,0,0,,,,,Determine if two arrays share memory.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
size,free,free,0,0,,,,,Return number of elements in array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
split,free,free,0,0,,,,,Split array into sub-arrays. Cost: numel(output).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
squeeze,free,free,0,0,,,,,Remove size-1 dimensions.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
swapaxes,free,free,0,0,,,,,Interchange two axes of an array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
transpose,free,free,0,0,,,,,Permute array dimensions.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
tri,free,free,0,0,,,,,Array with ones at and below given diagonal.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
tril,free,free,0,0,,,,,Lower triangle of array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
tril_indices,free,free,0,0,,,,,Return lower-triangle indices for n x n array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
tril_indices_from,free,free,0,0,,,,,Return lower-triangle indices for given array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
triu,free,free,0,0,,,,,Upper triangle of array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
triu_indices,free,free,0,0,,,,,Return upper-triangle indices for n x n array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
triu_indices_from,free,free,0,0,,,,,Return upper-triangle indices for given array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
typename,free,free,0,0,,,,,Return description of given data type code.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
unravel_index,free,free,0,0,,,,,Convert flat index to multi-dimensional index.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
vsplit,free,free,0,0,,,,,Split array into rows. Cost: numel(output).,Zero FLOP cost — not benchmarked,,,,,,,,,,,
zeros,free,free,0,0,,,,,Create zero-filled array.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
zeros_like,free,free,0,0,,,,,Array of zeros with same shape/type as input.,Zero FLOP cost — not benchmarked,,,,,,,,,,,
array2string,blacklisted,blacklisted,,,,,,,Return string representation of array. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
array_repr,blacklisted,blacklisted,,,,,,,Return string representation of array. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
array_str,blacklisted,blacklisted,,,,,,,Return string representation of data in array. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
asmatrix,blacklisted,blacklisted,,,,,,,Interpret input as matrix (deprecated). Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
base_repr,blacklisted,blacklisted,,,,,,,Return string representation of number in given base. Cost: numel(input).,Intentionally unsupported in flopscope,,,,,,,,,,,
binary_repr,blacklisted,blacklisted,,,,,,,Return binary string representation of the input number. Cost: numel(input).,Intentionally unsupported in flopscope,,,,,,,,,,,
busday_count,blacklisted,blacklisted,,,,,,,Count valid days between begindate and enddate. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
busday_offset,blacklisted,blacklisted,,,,,,,Apply offset to dates subject to valid day rules. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
datetime_as_string,blacklisted,blacklisted,,,,,,,Convert datetime array to string representation. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
datetime_data,blacklisted,blacklisted,,,,,,,Get information about the step size of datetime dtype. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
format_float_positional,blacklisted,blacklisted,,,,,,,Format floating point scalar as decimal string. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
format_float_scientific,blacklisted,blacklisted,,,,,,,Format floating point scalar as scientific notation. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
fromfile,blacklisted,blacklisted,,,,,,,Construct array from binary/text file. Cost: numel(output).,Intentionally unsupported in flopscope,,,,,,,,,,,
frompyfunc,blacklisted,blacklisted,,,,,,,Take arbitrary Python function and return NumPy ufunc. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
fromregex,blacklisted,blacklisted,,,,,,,Construct array from text file using regex. Cost: numel(output).,Intentionally unsupported in flopscope,,,,,,,,,,,
fromstring,blacklisted,blacklisted,,,,,,,Create 1-D array from string data. Cost: numel(output).,Intentionally unsupported in flopscope,,,,,,,,,,,
genfromtxt,blacklisted,blacklisted,,,,,,,Load data from text file with missing values. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
get_include,blacklisted,blacklisted,,,,,,,Return directory containing NumPy C header files. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
getbufsize,blacklisted,blacklisted,,,,,,,Return size of buffer used in ufuncs. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
geterr,blacklisted,blacklisted,,,,,,,Get current way of handling floating-point errors. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
geterrcall,blacklisted,blacklisted,,,,,,,Return current callback function for floating-point errors. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
is_busday,blacklisted,blacklisted,,,,,,,Calculates which of given dates are valid days. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
isnat,blacklisted,blacklisted,,,,,,,Blacklisted per reviewer — datetime ops not in scope.,Intentionally unsupported in flopscope,,,,,,,,,,,
load,blacklisted,blacklisted,,,,,,,Load arrays from .npy/.npz files. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
loadtxt,blacklisted,blacklisted,,,,,,,Load data from text file. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
nested_iters,blacklisted,blacklisted,,,,,,,Create nested iterators for multi-index broadcasting. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
save,blacklisted,blacklisted,,,,,,,Save array to .npy file. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
savetxt,blacklisted,blacklisted,,,,,,,Save array to text file. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
savez,blacklisted,blacklisted,,,,,,,Save multiple arrays to .npz file. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
savez_compressed,blacklisted,blacklisted,,,,,,,Save multiple arrays to compressed .npz file. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
setbufsize,blacklisted,blacklisted,,,,,,,Set size of buffer used in ufuncs. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
seterr,blacklisted,blacklisted,,,,,,,Set how floating-point errors are handled. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
seterrcall,blacklisted,blacklisted,,,,,,,Set callback function for floating-point errors. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
show_config,blacklisted,blacklisted,,,,,,,Show NumPy build configuration. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
show_runtime,blacklisted,blacklisted,,,,,,,Show runtime info. Not supported.,Intentionally unsupported in flopscope,,,,,,,,,,,
